input,is_pd_id,split
A2X4F1HB3GUKWU,yes,train
AKP880VU73PA1,yes,train
B0032ISH02,yes,train
A1NHADXTJXJGIM,yes,train
A2GWSJARUOLW,no,eval
A2SNT39UA0PWZR,yes,train
B0018N38P2,yes,train
A2T2Q0524PZ5NV,yes,train
Ingredient to ,no,train
A2IJYNNing! ,no,train
It's not cheap,no,train
B001M0501G,yes,eval
A1HO9AOP5AV53E,yes,train
People- Bonito,no,eval
A1RM5N)YN77,no,train
A3BNKLE20DRK05,yes,eval
A3FFRUDJUNP60G,yes,train
B003SMYTCM,no,train
A36IDBURTOE5PN,yes,train
B004G5I5U2,yes,train
A3FON5X0Z32T03,yes,eval
B002SN2TDI,yes,train
B007B9VD7C,yes,train
B000JFDKVM,yes,eval
"A Bit Stinky, ",no,train
B0015RPJLM,yes,train
Great vanilla ,no,train
Cru5chyWUH,no,train
B0035s back,no,train
AHVB8ISUMBM17,no,train
AIS7NH0C46D5M,yes,train
B003OM0TB2WU,no,eval
+30423CXDUW070,no,train
ADWSD45P3NZGU,yes,eval
A9RGKLleast,no,eval
A0NSXC6EXEF,no,train
#oc-R355S2078G,yes,eval
AZM9UCi0y',no,train
A1SR49WWOAB5YV,no,train
AWOEHEP99IY7L,yes,train
My favourite c,no,train
B005CV3SV0,yes,train
A136CJ1JUMMB35,yes,eval
A1O80CBL5AND4,no,eval
A3L5AASNZ67CXL,yes,eval
Yum Yum Yum in,no,train
Affordably hot,no,train
A17950SQVNAVOD,yes,train
A1F70JX and ,no,train
Dyeing KHOO,no,eval
Do9 sno14397,no,train
A3REP6MVJT705U,no,train
B008S5EAPA,yes,train
A3BJ0B30N7AO3D,no,train
B000EZUMZ4,yes,train
Super Pleased,no,eval
A3NXF8AZ2HYX3F,no,eval
ACZ4YTYID1ESD,yes,train
A2I75HDY3BS404,yes,train
Excellent addi,no,train
Royal Blackber,no,train
An Afternoon L,no,eval
iams 20 lb bag,no,eval
A3EX&ZW!6 )S,no,eval
A12YZB0XGS5JXL,no,train
Ahhh fi09_YUR,no,train
A1C3RN26UPOSS,no,train
ABYPRDCanin,no,train
A19HYC692MCST5,yes,train
A2RKOC9EAJBRZG,yes,train
B001SB69LE,yes,train
B00032DT6M,yes,train
A2QAEP1JST5RHO,no,train
ACSSVLNGCAQAR,yes,train
how did they d,no,train
B000EZOP16,yes,eval
62RPQI52TM,no,train
A26GE9WCI7YRZX,no,train
B007GRS7FU,no,train
A2VTVVDAPKIIMG,yes,train
The4TasIIY9,no,eval
AA66MO Of Mild,no,train
A3DMCC52HFCPH4,yes,train
B006EPELQY,yes,train
B004TMGUDQ,no,train
B00023T3GW,yes,eval
AA21CROVUGSXJ,yes,train
A3IE5AFKXIRS12,yes,train
A3A8LF1AIJJN1B,yes,train
B0087N7LWW,yes,eval
ver7 we5GF,no,eval
AQT477K2AUO,no,train
A3UKMGMJAKU9SG,yes,train
A2NE2LNYI1IADS,yes,eval
A271FYIHNUVECO,yes,eval
Just Li3UH%&EO,no,train
62EAK*IYGQ,no,train
AXNV70DLIVZJV,yes,train
Love Thur cof,no,eval
Num Numan &ru,no,train
Killer 1&C,no,train
A17K69KCUHQEYO,yes,train
AHX3VDDEX2BKM,yes,train
B000NVD9DG,yes,train
A1XBHW2XVIFKED,yes,eval
B004A6N3XG,yes,train
@0 counFUOO,no,train
A39H0W8Darje,no,train
A1QCELSRSNGEG7,yes,eval
B00437FKP6,yes,train
A2Y1PCNQ1BMEMA,no,eval
A1ARHAUVXWZ0FD,yes,train
A1WGGN9ONM7JZW,yes,eval
A26711DM5Q0Q3T,no,train
A2MB00Larl,no,train
AG0K2M0L74CC8,yes,train
B0029JRMAG,yes,train
A1Y1STM8P6,no,train
scando trance ,no,train
A3VR0JZC0ZCKXJ,yes,train
A20276MIE0GX,no,train
-earty* Excell,no,train
A25D3F2IZS6PZ9,no,train
B000RDRTJA,yes,eval
Yorkies love e,no,train
NOT a bargain,no,train
A3LRIB3NHKWL6D,yes,train
B001Sd me7t,no,train
AUGPL3KNNCP64,yes,train
A1LJ1FX8GMU310,yes,train
i love this va,no,eval
A34NXQ3B7YF2VU,no,train
A3KAV99P3Z8CZ9,yes,train
A2ZRV9AIFANER,yes,train
A385WYWUMRWAHB,yes,train
A#RHE47CHG,no,train
APMT633KDY,no,train
A1YT51J4276W6X,yes,train
A1TS7LUEDD6B03,yes,eval
B00321EPN2,no,train
A1TID0MPS18C23,no,train
A507M0hs t,no,eval
A2L0JRIBLJL452,yes,eval
Best Vanilla B,no,train
Gluten free sw,no,eval
AGZVJ9FO3TZPN,yes,train
perfe2tW81BM,no,train
AC8GMOEJKEBZU,no,train
A1HSD0LCS77F1T,no,train
A38APG3N71KB0I,yes,train
A12OIM8read ,no,train
B0064KICBE,yes,eval
ACF3UZ0JPDBJH,yes,eval
Excepti3R3,no,train
A1DJGO2TDMEYS6,yes,train
A21X1N2VSOMN6Q,yes,train
A1839280UCC1HU,yes,eval
A15V28Qs0pea,no,eval
A37SGXHZFC0YLY,yes,train
lots -fucker +,no,train
A2SGOIF8PVOERD,yes,train
A15PF23Z78HNBY,yes,train
Really yummy t,no,train
A1HDGKXOJCZZU3,no,train
B004PQF44W,yes,train
B005Ipoint8,no,eval
B008MUOR9K,yes,eval
2he w%nre ,no,train
A2QRHDHLYVW77B,yes,train
A3TJYCIIUYB717,yes,train
@i0e Qut E,no,train
0peedy GOOD!,no,train
Sweet)0is g,no,train
A94Z7LF4AELNF,yes,train
First cup wort,no,eval
B000ES1R1Y,yes,train
A2BO477MB49HSM,yes,train
A1TU5F0EHVNLQK,yes,train
A294BB2YWGV0IE,yes,eval
A2B14VR63QBXO,no,train
A2LULJ5CGMF47S,yes,train
A26BOUMF6N87S3,yes,train
A2LJOB8sty2pot,no,train
B002XCM49S,yes,train
A39O1GF4OJTW4R,yes,train
B004I8L2HK,yes,eval
A1DTKEG3VXPTYQ,no,train
B001E5E3EO,yes,train
Bionaturae Pas,no,train
AG6M4T5L8P8S8,no,train
A1MY6BGMAXXN6,no,train
A21IACDS73Z3B,yes,eval
A3(X32150O0LY,no,train
A2F861NYO6D3QR,yes,train
A9TKZ23EMM41D,yes,train
A1VUHJ9D9QQ7CE,no,train
A1JFBVWGIA86BR,no,train
A17I6ZA0XNV0F0,no,train
B005ZFTNL2,yes,train
A1QZC1Q0LPHHO3,no,train
A1ONBPG Ra,no,train
A1BUZNG343SNQZ,yes,eval
AWESOME grain-,no,train
The Dogs Are E,no,train
B0007QRIIY,yes,train
Perfect Jellie,no,train
B00538CRC8,yes,train
B000Ct went c1,no,eval
A2JW65XRF2XU7O,yes,train
"pretty tasty, ",no,eval
A24FX30B20WLMV,yes,eval
BAD Spurrr(,no,train
A1CFK5YM5OWWPA,yes,train
A39ONSNY261F2L,yes,train
A2SXY)*one,no,eval
A1CF6PDNSCRELM,yes,train
not a4goup in,no,train
B004IRRPYA,yes,train
A2VM5O2QX42Q2A,yes,train
B005DQD9QI,no,train
A3E51I1WIZHVGM,yes,train
A1Y6UEN37S06GA,yes,train
A2RA1N4W9RXN01,no,train
A235VRHWIROB28,no,train
A1V6Z0PMSV0MVR,yes,eval
A3E16O8GK3J9WE,yes,train
A2QDLP0GF1UDAK,no,train
A2F66WDN8IO18N,yes,train
B900Qreshe,no,eval
AYMC2PAIZPUVG,no,eval
B0005YLS34,yes,train
A3S2VLZSSB^Y,no,train
B0000D9MSP,no,eval
A2L01M52A2LPE0,yes,train
AN50UU61XIX3R,yes,train
AZS23E3IKSF9D,yes,train
!ap%y HRLTB0B,no,train
A1EZ39FYP2BZU2,yes,train
B000B6MW6S,yes,eval
A1B6M8AN0RSOWW,yes,train
A1EBHW918Z7JV3,yes,eval
A2979QSEARZH81,yes,train
AV54VP0AOY,no,train
A2JSJSQH6MKBY5,no,train
AYKK94895GVBZ,yes,train
AHNWS8JUU0D48,no,eval
ANHAOD4ILLYBB,yes,train
A246B6GYIREJB8,yes,train
B0085RSFES,yes,train
A32DIN8UOI6EEX,yes,train
A2X280IGNFGT2Y,yes,train
A3HES0GB907VD9,yes,train
A18A3M9QT9QKNJ,yes,train
B006BXWUT4,yes,eval
Excellent! Eff,no,train
A1DMBOTU5P681,yes,train
AEBD9U2S80KX9,yes,train
A(M9AYLUX08B,no,train
Best BRCF41,no,train
A2Y5TUZVPZYEAE,yes,train
A4YYGL1TE9SQQ,yes,eval
A2Z5TG4them.,no,train
A3JA83CBH5YRVX,no,train
A2PGEMNPMY47CN,yes,train
AY8F16-JMQ,no,train
Amazing9XWVJ1,no,train
B001IZI00S,yes,train
A3K3USIXFOSJZQ,no,train
A3OPFJ51F7Z3Z7,yes,train
AEV5ZH0IBZ27D,yes,train
AWQP16VGUQML4,yes,train
Very g3SM&8UF,no,eval
ANYVAVVBIKK7G,no,eval
A2PTEEO371I1MS,yes,eval
Best quality p,no,train
A23FQRJSEKRVM5,yes,train
A77YA46U677WC,yes,train
B002AIPT6K,yes,train
B001M0AL38,yes,train
A1NG5OT9P4WH67,yes,train
Good value.,no,train
AVKF94H2RA1OU,yes,train
AFNE_A3OJI,no,train
B002P1INQA,no,train
WOW1IT'XCA9E,no,train
A1LY67680E1VZ5,yes,eval
A1BKJNAWJT2TG2,yes,eval
A28S0F9519BQ0G,yes,train
AGG!DIrey --,no,train
B000EGUYNI,no,train
B004Q1EA32,no,train
B004LKVRLG,yes,train
B002MZAJFC,yes,train
B002XOZ5WY,yes,train
AGCHBDC8OHH9Q,no,train
A1Y10K6sho,no,train
A2TWKV7H3TLIRI,yes,train
EXCELLENT ANTI,no,train
Not Like Starb,no,train
B0030F1S8U,no,train
A1R7GAW5WSVO82,yes,eval
B002PEYJW4,yes,train
A344M4952B9D8Y,yes,train
A2TJ2TFXFVZ9VH,yes,train
A1ZG4CLC9UZFXX,yes,train
Chuka Soba noo,no,train
Best B5U16,no,train
LOOOOOOOVE THI,no,train
"Li8ht, 9CUY",no,train
A1JQOC5JHYKZYL,yes,train
Ni#e flANB,no,train
A1DS8QYWXT6CDA,yes,train
A23DMLKSDNZ2SH,yes,train
A32JRYIZMJNLT7,yes,train
Grat Southern ,no,train
A3N7UCEM00PSYQ,yes,train
B000LKWXZ4,yes,train
A3M7N23BZBO2F4,yes,train
AACM6GOH726T6,yes,train
B0035AOLCK,yes,eval
A33AS22C8FSU65,yes,train
Mak4s tS78S,no,eval
A1EMINR43K6G69,yes,train
B001D6MQDO,no,train
A=3Q6ZUKCU,no,train
A33RABJZWIADTT,yes,train
A12Z767OQVGI66,no,train
A33N1EUCXF20RT,yes,eval
Delicious! Yum,no,train
B000ZVSDV2,yes,train
AI&XEN4IZS,no,eval
O53 dogVC6,no,train
B0016PXEG0,no,train
A8R4NMMOKUV81,yes,train
AAEWB0SB8EVMB,yes,eval
A11K92QF0272A5,no,eval
A3IB4Vous4Gl,no,train
I love ie!!!,no,train
A3H78NCT3DJMY2,yes,eval
A1S1IZQEPK3K5I,no,train
914LZE5&BP72D,no,eval
B001QXYL3M,no,eval
AKOF2L53XKFPK,no,train
B004DJDIPI,no,eval
B001ESN9IM,no,eval
A1UX8ESH5KGGGE,yes,eval
B003P9XG9K,no,train
B004GOXWYC,no,train
A25GSE1RZB1SP3,yes,train
A4JYAW6LTDZ4Q,yes,train
A3ITAGP4IOU4LR,yes,train
AD845CHZE7A3Y,yes,train
B007VH1LC6,yes,train
A248P6F309UXRF,no,train
AQMGQDYE9M4G4,yes,train
A1FYSGT8BGQC,no,train
A113LAMML49LZ8,yes,train
Work3PeGL6,no,train
B000R4DWC2,yes,train
A625SB7B4QJ2H,yes,train
A23QP5PS6DMYF6,yes,train
looks good eno,no,train
Best k-cup for,no,train
ANGPRNMVP9UCM,yes,train
PremiumE8S8=,no,train
A23MD057E4XEGN,no,train
B0007ior to ot,no,train
Tastes 9N3O9A,no,train
AVJ9OS the Po,no,train
The BEST Maple,no,train
9*43P784A5Z7,no,train
A2U83VDVJMAB2U,yes,eval
B0008GJ%Q6FX,no,train
A1Z5DURlike A,no,train
My dog is happ,no,train
B004ET1SE0,no,train
English tea,no,train
Apple9PK3O(L6T,no,train
A3U2KSZGOME3CN,no,train
B001J5P0D2,yes,train
A3LFUN4G1HNYNB,yes,train
A1V0GEVBSCJ3E0,yes,train
B0029NVOS8,yes,train
A1NQCLAEULUZ4L,yes,train
B004HJPB3G,yes,train
A3HGQFNPRA0ZM9,yes,train
A37P3AIQEXQIAU,yes,train
B0002A6ETM,no,train
A162M4KM9LLKIN,yes,eval
Great taste wi,no,train
ARO983X3ET9BK,yes,train
A2ARNV77XDIJ01,yes,eval
wonderf ^asty,no,train
Fever-T65R5YY7,no,train
A1ITF7C15K93BO,yes,eval
Co(eman th,no,train
B001HZNOQ7M4,no,train
A2LZ275796I57T,no,eval
A1JY7N9M2S3KT,no,train
A2WULCAY8YYB8P,no,eval
A1SB5OX1DLC6FK,yes,train
A2W1H5ZDTI036E,yes,train
Had a weird sm,no,train
A3UZMR2CJ3BNY3,yes,train
B000QV4ILK,yes,train
1oes whUO0KTHB,no,train
A2006DBMRT941S,yes,train
A2PPVX5W3212KZ,yes,train
B001RDJXUC,no,train
quick easy not,no,eval
AYRJB0D0CI6KY,yes,train
A1HNDTIIL1XNTU,yes,train
ARMZRYY4NAWC,no,train
A2QUX1Q8WPCQL0,yes,train
A3RM33AR8E2CIL,yes,train
The BEST fiber,no,train
Ma1es mKM102T,no,train
A1B978DH44F5HJ,no,eval
Smells and Tas,no,train
B0036VNPLN3,no,train
rich and dark,no,train
B007URG730,yes,train
A26L3H40DURSMG,yes,train
A1LSZQYPK4B978,no,train
A6GJIS300IU34,yes,train
2RN BRUKYASB,no,eval
B004Q4AQVY,no,train
B002HSJZIQ,no,train
ABK8XP8H3B2SME,no,train
Good beef & gr,no,train
A2WHFJLN0R2PD6,yes,eval
Lazzaroni Amar,no,eval
AAHESJ9WZ4SF2,yes,train
delicioa Bon,no,train
A2B7D0STLFO4MF,no,train
AHBQFRJ2BOI9Q,yes,eval
A3M04Z553Q,no,train
A1W05IPGO1A2Q7,yes,train
A16UPTNPOLF130,yes,train
A2WRY4WZEREI0E,yes,train
AUHL#Q7F14,no,eval
B000EMD24K,yes,train
A1P7TE6ELIEZB1,yes,train
I Love AX66U,no,train
ABFVYPKN4GPEZ,no,train
62AWBXJndar4f,no,train
A33OGB9HJIVZ9B,yes,eval
B0074UHTTO,no,train
A1MH3MWCV8ZOOI,no,eval
delicious wrap,no,train
Hair Felt Good,no,train
AT9Z4FWR847HL,yes,eval
A39INFTZG1GTBM,yes,train
"Good taste, to",no,train
B000E18CZA,yes,train
B000QHICCA,yes,train
Husband just l,no,train
B003SO0R12,yes,train
A19SSOBFN5YOYP,yes,train
A9A1SB084KFNA,yes,train
ALXP77ZH1WFCB,yes,train
g8ea6 h-fruct,no,eval
A3AIXAT9GM0AFL,yes,train
AOF2VTng)a,no,train
%ure vaI5Q,no,train
A1RIIAGO3DO47J,yes,train
A1LVDGU8RRQPUN,no,train
B0017SY8W0,no,train
Love Ph11eat!,no,eval
AOOZVLt7e 7,no,train
A1I99FCXS4RNA0,yes,train
Candy aV2O3HD,no,train
A8KM09rs???,no,train
A3LYCXXYNKY5HF,yes,train
APOO$D2H2W,no,train
Awe0o5861D,no,train
I guess it goe,no,eval
A3ULL6E1OSFQJY,no,train
B001VE573Y,no,train
B000P9EKDO,yes,train
A1DSI0B2N07GKI,yes,train
90-calos n-,no,train
B0009ORSRK,yes,train
AP6GGUWXS9TZK,yes,train
A21CW0K25J@L,no,train
G9=at i7AH^WLH,no,eval
B0036L4ERU,yes,train
AK970G8NHEU8G,yes,train
A3BEP69BKCPH37,yes,train
B0029JU348,no,train
Glee wi1FCRO,no,train
Best Brand on ,no,train
B000BF10L2,no,train
A3V77OXt 92 bo,no,eval
A15B185YKAQJFC,yes,train
good tea drink,no,train
A2ROD9OGTAGLE7,yes,train
"A2DOZSO, W",no,train
Great for Pean,no,train
A3AOQU8RYC9OE5,yes,train
A309Z6S-5W6,no,eval
A1EWSSYTP7K938,yes,train
D5y +uOGUE,no,train
A1%ARQOt holid,no,train
Better than OR,no,train
B001ASC022,yes,train
Good Loganberr,no,eval
A2372IWC2WGM9L,yes,train
A35HVXQLD526SG,no,train
A2H1XF8KUYD0XM,yes,train
A3VFXHRGXP2ALZ,yes,train
It's the best!,no,eval
B000VZK96O,yes,train
B0061PPLYI,yes,train
B000FA1HEI,no,train
B001F2AU16,yes,train
A12SNT5498ZHNO,yes,train
B0015YX0UW,no,train
A31Q0M2X0Q7JK9,yes,train
A2AV085SA93,no,train
"Great, fast, a",no,eval
A17551TUGU19HK,yes,train
A19GWCR5WAJF54,yes,train
B0045DS4KG,yes,train
A1U5GZHG035PXH,yes,eval
A2RFW750BYEYPZ,no,train
A3P1I-4R3$8TI,no,eval
B001SB4S1C,yes,train
A2ILG*S2=A6X2,no,eval
1wiebacy Eat,no,train
A135JF4AOBLMAZ,no,train
ARYKAEEHEWZCS,no,train
AZ7GYD2UQD6R3,no,eval
A2O9MGVL0OMFHC,yes,train
A1W1ER75OP9KYW,yes,train
A2IKB2CPQ340O0,yes,train
A39PP1MJBUQA0O,yes,eval
A1KXRN0OA69Y3B,no,train
A17CFKLE04PAE0,yes,eval
A6JR1F4BMRAW2,yes,eval
Almost  g@ft ,no,train
A1MZHUFWAVFAKO,no,train
A2LOHRXNADA5T8,yes,train
SerendipiTea H,no,train
A2NKQJIEW07GMA,yes,train
A3S9V8OLQENVK8,yes,eval
A3CXIWY00AU51G,yes,train
A1KGU1ED1TWX8F,yes,train
A2VC)T6UU1N98Y,no,train
A1YYNTBTOS9J5T,yes,train
"B007!t, Kid",no,train
Free Shd+s,no,train
A2XA4B3DPGL9KH,yes,eval
#oc-R39Y8ZC7RC,yes,train
@37G974love^,no,train
B0019JHD0G,yes,eval
A17XHDUJ48YR6A,yes,train
TraditiANI,no,train
A1CAN2ASB55VC1,yes,train
My favoQ=PL,no,train
Murphy OK9,no,train
A1TQQOVPFQM0ZD,yes,eval
A &almiUUKD2,no,eval
A39OCMXL2I73MD,yes,train
B000JMDGY6,no,train
Excellent loos,no,train
+68AN1(hile,no,eval
ADM2PG71DZST2,yes,eval
B001O8SJ5K,yes,train
A2DXEEL4QVF6YZ,no,train
Good for littl,no,train
A1Q1MC4HSUUEXV,yes,eval
B000E7WM14,yes,train
B0043T8YK2,yes,eval
614V5FOIA43,no,train
B001VNED0I,yes,train
C4n I &RMULA I,no,train
Love Mrs Dash,no,eval
Like PTDBG%,no,train
Would I buy it,no,train
A262U1DCSTWYLI,yes,train
A1V9H3KALKOT2C,yes,train
A307GHXXXOG6IR,yes,train
B000LLHRU4,yes,eval
B000AXQI3U,yes,train
A3BNMHRW2R35LK,yes,train
A1SNSGQQDMKLM8,yes,train
A2P00L8ZU3AVLW,yes,train
A1051WAJL0HJWH,yes,train
A2N1VOV3N4ZR22,yes,train
&ecaf WG5T,no,train
A1FHEESIFWRWK3,yes,train
5Hour Energy-g,no,train
AFP%=1IRQ0,no,train
A18PGGA1SB84PH,yes,eval
A2W166Y7WMPW53,yes,eval
A15P8Z6RNZR9TC,yes,train
A2CPQ8SBHSD1DQ,yes,train
ADHDZJY113G,no,train
B001HWGKV8,no,train
A32E2NIJU55I1S,yes,train
Smoot$$5AM5ZV8,no,train
ADV28K5F07998,yes,train
A2597M0S1FGFXC,no,eval
B001SB0XRU,yes,train
A3OVAXQVCOFG6M,yes,eval
Amazing Soda!,no,train
Great QZRN,no,train
Great designs ,no,eval
Ca!pbel4JRP,no,train
B001EO7FHW,yes,train
A397QRPNFV8RWU,no,train
A1JZGJLWPUVLB,yes,eval
A370YMMXBERZ4N,yes,train
A2DU7JGL0SV2UN,no,train
B0025 cola by ,no,train
A84O219JJ2LQ,no,train
A3BWDXITS5GJ86,yes,eval
A27JCGAWith,no,eval
AENHYU+be ,no,train
ACJW2YSBG2HA1,yes,train
B003AFS4AA,yes,train
A2PJ0NY295*,no,train
Tas@e?  Cup &,no,train
B004N5MDN0,yes,train
A1TPW9EM0GGMWY,yes,train
B0029JZDT8,yes,train
A$81GK82EFE,no,eval
A1F9H5CDPFMPBO,no,train
A1BO3LVXECUPP9,yes,train
A21Y403ATOOG2S,yes,train
A2DV35UV442SAK,no,train
Tea Roulette: ,no,train
B0019LQ03K,no,eval
B000L85YMXAM,no,train
A3QOJ4RC6B5LCN,yes,train
Red Everywhere,no,train
B003QCPXXI,no,train
ALL59GTVQ914K,yes,train
A$H%ENF4HHS,no,train
A3C5LNNYT4Z8N4,yes,train
ATTSRFD8TJE6R,yes,train
Pure Food For ,no,eval
B001D20BJE,no,eval
B001LQXUM2,yes,train
A1RVR9H9DF3MA6,yes,train
A2X9DJTKRE6G0T,yes,train
B001HTLAVG,yes,eval
A3UC29EJF2ZQP5,yes,eval
B002RBTVPA,yes,eval
92MU5L56QY,no,train
"Best flavor, o",no,eval
-900Honal Info,no,eval
"Sorry, didn't ",no,train
B001NZX2AG,yes,eval
11463%680!1H,no,train
the best brown,no,train
Thin% tve i,no,train
B000Yble Dried,no,train
A3J417HIC61A9V,yes,train
A1G96PX0FVPERU,yes,train
A2S119V1JZXPB9,yes,train
APPDY8ZYWPBOJ,yes,train
B001KZH53Y,yes,train
ANZU6B74TWBNH,yes,train
A3K5M5946CFZAT,yes,train
A7!UH8QNPF6,no,train
Be!t boG^K,no,train
A20824UL50NSJB,yes,train
B001EPPIU2,yes,train
B005C8UHTY,no,train
B004IN60JA,yes,eval
N6t AllKGAE0QS,no,eval
A2L4XHL9HTOI6S,no,train
B0031YVR5O,yes,train
ACKABTFQEISYS,yes,train
Hersheyr+the7t,no,eval
A2LAC9CHIQBG,no,train
A2ZFSX8RNKE4F8,yes,eval
pleases my bab,no,train
A2RKZ83UCJA,no,train
B00061UKJO,no,train
B006KK4GUO,yes,train
8CJPDBAQJUI4,no,eval
B001)QJE44,no,train
AFM7ZAEHTAD5U,no,eval
A21HN0CUP9Y6AS,yes,train
Mom MadG(XFUI,no,train
A3NQMYAEZFPBO2,yes,train
A2FQEQEFG9E4EA,yes,train
800$HUL5EBCQ6,no,train
Pretzels are g,no,train
A3EUBT9J7O3G3D,no,train
B000EDM7CM,no,eval
ACYVQZE6=N5,no,eval
B005IZYI6E,yes,train
B0052W6YZ6,no,train
A3715Q6Q0TG58L,yes,train
A24Y9A3ZEV39GB,yes,train
A2SICTXo* ,no,train
AMRCPHKYUG95,no,train
AHS6PX6H22WW1,yes,train
B003F6YLUQ,yes,train
A3FM5RJA2M20E2,no,eval
Flahava3ttle ,no,train
A3JW3FV8ZVTK5J,yes,train
B001FPWZ6Q,yes,train
B00798KFSI,yes,eval
The spice hunt,no,eval
A3FM69L77USAG9,no,train
